Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,83,0,61,178.4104759025062,7.292200025403872,2134.0075000189245,72.0,2.852764298385014,0.0,61,65,67,68,120,2100,2100,2100,2100,2100,2100
,Aggregated,83,0,61,178.4104759025062,7.292200025403872,2134.0075000189245,72.0,2.852764298385014,0.0,61,65,67,68,120,2100,2100,2100,2100,2100,2100
